date,symbol,action,qty,price,execution_price,cost,portfolio_value
2011-01-04,GTL.NS,SELL,1092,409.3310862095711,409.3310862095711,480.4308086004657,1292304.3748126258
2011-01-04,SANOFI.NS,SELL,66,1224.1074845651406,1224.1074845651406,99.88616587911065,1292134.7545030462
2011-01-04,POLYPLEX.NS,BUY,2817,186.89892946467037,186.89892946467037,626.0943670290872,1289320.3338723704
2011-01-10,SETFGOLD.NS,SELL,5716,20.15149974822998,20.15149974822998,135.6284982219277,1184420.2793058427
2011-01-10,DPSCLTD.NS,BUY,13935,8.252786179532185,8.252786179532185,136.75830261788008,1179023.5890049874
2011-01-11,INSECTICID.NS,SELL,1740,87.37238038986067,87.37238038986067,173.91378852938408,1153503.935151399
2011-01-11,UFLEX.NS,BUY,990,153.1071635814149,153.1071635814149,180.2506507155017,1147739.5099745165
2011-02-01,DELTACORP.NS,BUY,296,67.68009208268178,67.68009208268178,23.823128190024494,1057242.13451415
2011-02-10,WHIRLPOOL.NS,SELL,95,197.53406649534787,197.53406649534787,35.430902803015115,905915.6496933624
2011-02-10,KRBL.NS,BUY,772,24.288739917670227,24.288739917670227,22.298128840018943,904708.2287947972
2011-03-23,DCM.NS,SELL,13085,13.718991103500366,13.718991103500366,202.4755998220368,962916.829064322
2011-03-29,POLYPLEX.NS,SELL,2817,107.5311062129989,107.5311062129989,330.71212918610826,994480.8416412204
2011-04-06,UFLEX.NS,SELL,990,129.46949664918432,129.46949664918432,149.12617771341363,1049611.2246042187
2011-04-07,JINDALPOLY.NS,SELL,97,373.16268035958694,373.16268035958694,53.54482504795936,1054400.336714778
2011-04-08,KRBL.NS,SELL,772,26.26548682698038,26.26548682698038,37.00132585204173,1055481.1798025381
2011-04-08,OSWALGREEN.NS,BUY,10611,66.47915269313575,66.47915269313575,838.8569861016446,1049115.61175272
2011-05-02,DIGISPICE.NS,SELL,619,82.50015344568718,82.50015344568718,68.99821908392968,1063265.3498772762
2011-05-02,KICL.NS,BUY,26,885.375,885.375,27.374534226,1062912.3247082846
